# strain sxx_GPa syy_GPa szz_GPa
2.00000000e-04 -1.79053261e-02 -4.42099062e-02 -7.22179315e-02
4.00000000e-04 3.42873830e-02 4.22146390e-03 -2.55913050e-04
6.00000000e-04 6.58658153e-02 4.08737982e-02 8.22535280e-02
8.00000000e-04 8.72139819e-02 5.73549879e-02 1.18124196e-02
1.00000000e-03 1.15582447e-02 -2.59789289e-02 6.15061891e-03
1.20000000e-03 3.29912622e-02 -3.51050987e-03 -2.68219019e-02
1.40000000e-03 7.66605457e-02 3.00120213e-02 -1.47846275e-02
1.60000000e-03 4.68752138e-02 -2.43998949e-02 3.55003500e-02
1.80000000e-03 9.08702091e-02 6.23624668e-03 -2.17805503e-02
2.00000000e-03 1.00430864e-01 6.87159928e-03 4.37050809e-03
2.20000000e-03 1.24369730e-01 1.36759854e-02 4.38094315e-02
2.40000000e-03 9.40907630e-02 1.06548913e-02 7.50985005e-03
2.60000000e-03 5.31189555e-02 -3.16785447e-02 -5.14964851e-02
2.80000000e-03 5.80592507e-02 -2.78797686e-02 -8.61187015e-03
3.00000000e-03 6.03074660e-02 4.41099568e-02 -7.55361189e-03
3.20000000e-03 8.57393312e-02 1.91499092e-02 3.69631434e-02
3.40000000e-03 1.27763511e-01 6.70876370e-05 3.61409939e-02
3.60000000e-03 1.05576660e-01 7.23671108e-03 -5.36924269e-02
3.80000000e-03 1.19812126e-01 -3.21777248e-02 1.56449086e-02
4.00000000e-03 1.25630729e-01 3.84398862e-02 -1.11761048e-02
4.20000000e-03 1.09012187e-01 -2.11285344e-02 2.47154835e-02
4.40000000e-03 9.15929804e-02 -2.63500798e-03 -3.52290289e-02
4.60000000e-03 1.08272890e-01 -3.01081937e-02 -5.13555479e-03
4.80000000e-03 1.41301818e-01 1.13956342e-02 -1.96086719e-02
5.00000000e-03 7.58733595e-02 -1.54031366e-02 -9.87708891e-03
5.20000000e-03 1.11366891e-01 1.45010117e-02 8.83107840e-03
5.40000000e-03 1.18288703e-01 -4.02302811e-03 1.73661531e-03
5.60000000e-03 6.19790125e-02 -8.00216130e-03 -6.01209298e-03
5.80000000e-03 1.23190669e-01 -1.82256429e-02 2.51599753e-02
6.00000000e-03 1.72801376e-01 4.59498695e-02 1.60979835e-02
