# strain sxx_GPa syy_GPa szz_GPa
2.00000000e-04 2.81626084e-02 -9.79383203e-02 6.97742660e-02
4.00000000e-04 6.18996405e-02 -1.41434402e-02 1.40122401e-02
6.00000000e-04 7.81342133e-02 -1.68592877e-03 4.09325402e-03
8.00000000e-04 8.95572863e-02 5.31897080e-04 -2.11907499e-04
1.00000000e-03 9.01347657e-02 9.81685205e-04 -1.79966069e-03
1.20000000e-03 1.00010343e-01 1.40894503e-03 -1.68868141e-03
1.40000000e-03 1.30976503e-01 1.48157919e-03 -1.10567174e-03
1.60000000e-03 1.64165267e-01 9.28048356e-04 -7.37751070e-04
1.80000000e-03 1.86883375e-01 1.99200858e-04 -4.44337137e-04
2.00000000e-03 1.83490770e-01 -2.39208451e-04 4.46197882e-05
2.20000000e-03 1.83480316e-01 -3.77541011e-04 5.33822346e-04
2.40000000e-03 1.82476584e-01 -4.74301727e-04 6.72099854e-04
2.60000000e-03 1.83657566e-01 -5.43634680e-04 4.78494187e-04
2.80000000e-03 2.04047118e-01 -3.84373762e-04 2.34140133e-04
3.00000000e-03 2.34632542e-01 -3.83109204e-05 7.48807701e-05
3.20000000e-03 2.57259052e-01 2.30830846e-04 -9.60888539e-05
3.40000000e-03 2.81386526e-01 2.91580539e-04 -2.91963826e-04
3.60000000e-03 2.99200493e-01 2.61515705e-04 -3.79986212e-04
3.80000000e-03 3.21204426e-01 2.20658378e-04 -2.55291109e-04
4.00000000e-03 3.47598159e-01 1.49210432e-04 -6.45705143e-05
4.20000000e-03 3.73089954e-01 -1.39261448e-05 5.96250424e-05
4.40000000e-03 3.94400542e-01 -1.60927191e-04 1.08930884e-04
4.60000000e-03 4.19217672e-01 -2.13319108e-04 1.67271710e-04
4.80000000e-03 4.40297394e-01 -1.46032457e-04 1.87891440e-04
5.00000000e-03 4.48893461e-01 -8.78377802e-05 1.39049518e-04
5.20000000e-03 4.66654606e-01 -4.48397890e-05 3.09013642e-05
5.40000000e-03 4.77930909e-01 1.52001289e-05 -6.11193474e-05
5.60000000e-03 4.81323126e-01 8.68932111e-05 -8.69174795e-05
5.80000000e-03 4.78494623e-01 1.22047788e-04 -8.60562047e-05
6.00000000e-03 4.76942345e-01 9.22492769e-05 -8.62983221e-05
6.20000000e-03 4.89237844e-01 2.24736327e-05 -5.10647179e-05
6.40000000e-03 5.01136679e-01 -1.86917518e-05 6.02616479e-06
6.60000000e-03 5.21237502e-01 -3.18037553e-05 5.43542674e-05
6.80000000e-03 5.27703701e-01 -5.08402850e-05 6.81157712e-05
7.00000000e-03 5.36889090e-01 -5.85727017e-05 4.95307690e-05
7.20000000e-03 5.44248422e-01 -4.85873992e-05 3.34265015e-05
7.40000000e-03 5.52806462e-01 4.18101686e-06 2.23700353e-06
7.60000000e-03 5.65370103e-01 2.99262551e-05 -1.57107316e-05
7.80000000e-03 5.82844755e-01 3.50710030e-05 -3.64087645e-05
8.00000000e-03 5.98568888e-01 2.51639501e-05 -3.55722063e-05
8.20000000e-03 6.05348020e-01 2.11421411e-05 -2.29671718e-05
8.40000000e-03 6.17418085e-01 1.06733502e-05 1.15858133e-07
8.60000000e-03 6.36131600e-01 6.79033462e-06 -1.26203634e-06
8.80000000e-03 6.47910258e-01 -1.83215034e-05 1.30425199e-05
9.00000000e-03 6.59316919e-01 -1.98105211e-05 1.51139080e-05
9.20000000e-03 6.77629599e-01 -1.17863972e-05 1.86753624e-05
9.40000000e-03 6.90145584e-01 -3.32177645e-06 8.19202412e-06
9.60000000e-03 7.05344197e-01 -5.43220647e-06 7.36692574e-06
9.80000000e-03 7.11140370e-01 3.21759003e-07 -4.24335538e-06
1.00000000e-02 7.20326979e-01 1.50896279e-05 -1.40694910e-05
1.02000000e-02 7.33323839e-01 7.23897553e-06 -9.88984569e-07
1.04000000e-02 7.45695252e-01 1.14159217e-05 -7.59845544e-06
1.06000000e-02 7.58009739e-01 4.92394732e-06 -5.90607955e-06
1.08000000e-02 7.70090182e-01 3.02005170e-07 -2.17897682e-06
1.10000000e-02 7.87614065e-01 -7.05992605e-06 8.74782076e-06
1.12000000e-02 8.05502672e-01 -6.84826097e-06 1.13581677e-05
1.14000000e-02 8.20351765e-01 -5.89627071e-06 4.95585729e-06
1.16000000e-02 8.40504465e-01 -7.20391168e-06 4.91801084e-06
1.18000000e-02 8.62462967e-01 6.71986392e-06 -6.87732425e-06
1.20000000e-02 8.80916062e-01 -1.48580712e-06 5.11125309e-06
1.22000000e-02 8.89465699e-01 6.45530115e-06 -4.56591868e-06
1.24000000e-02 8.88948099e-01 -1.27509210e-06 1.78513285e-06
1.26000000e-02 8.93223885e-01 -4.78455830e-06 4.45306971e-06
1.28000000e-02 9.10501060e-01 -1.35261343e-06 2.75807812e-06
1.30000000e-02 9.33734722e-01 -2.25098786e-06 5.30233439e-06
1.32000000e-02 9.36706863e-01 -1.05168682e-06 4.31521414e-06
1.34000000e-02 9.35952562e-01 -3.53353065e-07 1.10503228e-06
1.36000000e-02 9.46511411e-01 7.84997363e-07 -1.20249692e-06
1.38000000e-02 9.66336674e-01 -5.73288740e-06 6.30850270e-06
1.40000000e-02 9.78965700e-01 3.07720646e-06 -7.13787502e-07
1.42000000e-02 9.83346081e-01 4.40467317e-06 -3.63620549e-06
1.44000000e-02 1.00133613e+00 -9.44896877e-08 -3.01821960e-08
1.46000000e-02 1.01114393e+00 3.02246822e-06 -1.59571661e-06
1.48000000e-02 1.01717144e+00 5.73858102e-06 -6.01509908e-06
1.50000000e-02 1.04022450e+00 -2.31372034e-06 2.76102256e-06
1.52000000e-02 1.06299803e+00 1.08964847e-06 -2.42831414e-06
1.54000000e-02 1.08388184e+00 2.95880854e-06 6.71166933e-07
1.56000000e-02 1.08683273e+00 -7.28490066e-07 2.64750959e-06
1.58000000e-02 1.09338949e+00 3.37453208e-06 -2.85592407e-06
1.60000000e-02 1.10709497e+00 1.63345318e-06 -9.41884917e-07
1.62000000e-02 1.12709862e+00 5.14494700e-06 -1.73738520e-06
1.64000000e-02 1.13752415e+00 1.27991559e-06 7.95277724e-07
1.66000000e-02 1.14315582e+00 -1.06608336e-06 2.84092773e-06
1.68000000e-02 1.13511667e+00 3.41499105e-06 -1.85104934e-06
1.70000000e-02 1.12432712e+00 -6.75204356e-07 1.12789626e-06
1.72000000e-02 1.12735446e+00 -3.49181946e-06 1.73505539e-06
1.74000000e-02 1.16280630e+00 2.37457648e-06 1.62062280e-06
1.76000000e-02 1.18577985e+00 -1.47289421e-07 2.35874157e-06
1.78000000e-02 1.20392528e+00 2.74703684e-06 -7.10462241e-07
1.80000000e-02 1.21062748e+00 5.54590757e-06 -3.87024255e-06
1.82000000e-02 1.21784278e+00 7.58269277e-07 1.97756051e-06
1.84000000e-02 1.21597156e+00 -3.08096514e-06 4.45003498e-06
1.86000000e-02 1.21837406e+00 3.92113130e-07 -2.12995424e-07
1.88000000e-02 1.23179121e+00 -6.47544747e-07 8.72692100e-07
1.90000000e-02 1.23781419e+00 2.72729978e-06 -1.60092820e-06
1.92000000e-02 1.24776006e+00 -2.20586745e-06 4.02814361e-06
1.94000000e-02 1.25488090e+00 -8.12558707e-07 6.32244184e-07
1.96000000e-02 1.27215146e+00 3.97264228e-06 -1.75055422e-07
1.98000000e-02 1.27729423e+00 -6.92227428e-07 1.03760387e-06
2.00000000e-02 1.28416308e+00 7.34974482e-07 4.76841335e-07
2.02000000e-02 1.28303617e+00 6.05787222e-06 -6.83969485e-06
2.04000000e-02 1.29053318e+00 -4.00434871e-06 4.09687418e-06
2.06000000e-02 1.30807976e+00 -2.83850335e-06 3.23738048e-06
2.08000000e-02 1.32974940e+00 -1.92398937e-06 1.23357623e-06
2.10000000e-02 1.34718454e+00 -3.82385487e-06 5.55150477e-06
2.12000000e-02 1.36494538e+00 7.82600783e-06 -6.57243708e-06
2.14000000e-02 1.38168834e+00 -3.59117227e-06 5.97803573e-06
2.16000000e-02 1.38659522e+00 2.97059200e-06 -2.69642283e-06
2.18000000e-02 1.39692541e+00 3.01304977e-06 -1.92912382e-06
2.20000000e-02 1.40957477e+00 -5.51101891e-06 4.88504624e-06
2.22000000e-02 1.43186358e+00 -2.34562776e-06 4.59553654e-06
2.24000000e-02 1.44818978e+00 -2.11324988e-07 9.02567863e-07
2.26000000e-02 1.45866884e+00 3.77146876e-06 -4.11254323e-06
2.28000000e-02 1.47087631e+00 -3.04457481e-07 4.01225003e-06
2.30000000e-02 1.47233447e+00 -9.15014772e-08 2.19072695e-06
2.32000000e-02 1.46517056e+00 1.38185085e-06 -1.92262328e-06
2.34000000e-02 1.47984806e+00 5.78273017e-08 3.44426394e-07
2.36000000e-02 1.50220385e+00 -4.14265052e-06 7.87863148e-06
2.38000000e-02 1.50669967e+00 -2.50657726e-06 2.73780624e-06
2.40000000e-02 1.52114038e+00 3.40918890e-06 1.37366157e-07
2.42000000e-02 1.53062287e+00 -2.79440482e-06 2.76228390e-06
2.44000000e-02 1.53840424e+00 -5.03447394e-07 1.74923195e-06
2.46000000e-02 1.54451262e+00 -3.61001679e-06 3.54816932e-06
2.48000000e-02 1.56162108e+00 5.12775782e-06 -4.33588564e-06
2.50000000e-02 1.58163929e+00 2.85841710e-06 -1.37390498e-06
2.52000000e-02 1.59698125e+00 7.56125921e-06 -5.11976688e-06
2.54000000e-02 1.59932392e+00 -2.13796392e-06 3.52356376e-06
2.56000000e-02 1.60332714e+00 3.54295219e-06 -1.78070044e-06
2.58000000e-02 1.61672777e+00 2.47933191e-06 -3.57074928e-06
2.60000000e-02 1.63592642e+00 -4.25257340e-06 5.76589925e-06
2.62000000e-02 1.63802708e+00 -2.95740691e-07 1.48898037e-06
2.64000000e-02 1.63886689e+00 7.01693503e-06 -6.00010819e-06
2.66000000e-02 1.65040038e+00 1.64641557e-06 3.16313282e-07
2.68000000e-02 1.65669623e+00 -2.13965473e-06 6.64366576e-07
2.70000000e-02 1.67699348e+00 -2.24220265e-07 1.28771141e-06
2.72000000e-02 1.69492480e+00 4.57366372e-06 -3.28799875e-06
2.74000000e-02 1.71791990e+00 -5.84715073e-06 7.06201788e-06
2.76000000e-02 1.73497343e+00 1.01508360e-06 1.41926698e-07
2.78000000e-02 1.74838157e+00 -1.09301935e-06 1.00386727e-06
2.80000000e-02 1.76703694e+00 3.38612060e-06 -8.81257070e-07
2.82000000e-02 1.77080404e+00 2.68140617e-06 -4.73361544e-07
2.84000000e-02 1.76462209e+00 1.66608756e-06 -1.31680155e-06
2.86000000e-02 1.76577992e+00 4.34482681e-06 -3.16545277e-06
2.88000000e-02 1.76891438e+00 -1.42869479e-06 2.54799143e-06
2.90000000e-02 1.77303098e+00 -4.25505879e-06 7.11004123e-06
2.92000000e-02 1.78449507e+00 -2.06180794e-06 1.80673361e-07
2.94000000e-02 1.80968855e+00 9.21525657e-06 -6.84309072e-06
2.96000000e-02 1.82231143e+00 -3.19733402e-06 4.82024376e-06
2.98000000e-02 1.82792654e+00 2.60606109e-06 -2.48885026e-06
3.00000000e-02 1.83084599e+00 -2.39332314e-07 4.14716669e-07
3.02000000e-02 1.84247779e+00 1.17878828e-06 2.33134359e-07
