# strain  sxx_GPa
2.00000000e-04 -1.22071670e-02
4.00000000e-04 -6.78235876e-03
6.00000000e-04 -4.81841322e-03
8.00000000e-04 -6.42903785e-03
1.00000000e-03 1.93214502e-03
1.20000000e-03 1.73107252e-02
1.40000000e-03 2.10355561e-02
1.60000000e-03 2.16662818e-02
1.80000000e-03 2.74655101e-02
2.00000000e-03 2.93784134e-02
2.20000000e-03 3.14341634e-02
2.40000000e-03 4.60715622e-02
2.60000000e-03 6.07803355e-02
2.80000000e-03 7.29641581e-02
3.00000000e-03 7.36569340e-02
3.20000000e-03 7.71521511e-02
3.40000000e-03 8.57762517e-02
3.60000000e-03 8.78669921e-02
3.80000000e-03 9.20709410e-02
4.00000000e-03 9.62077188e-02
4.20000000e-03 9.98977542e-02
4.40000000e-03 1.03743486e-01
4.60000000e-03 1.11263208e-01
4.80000000e-03 1.19100208e-01
5.00000000e-03 1.21699655e-01
5.20000000e-03 1.24468913e-01
5.40000000e-03 1.24111649e-01
5.60000000e-03 1.25947224e-01
5.80000000e-03 1.29595762e-01
6.00000000e-03 1.32948625e-01
6.20000000e-03 1.46582038e-01
6.40000000e-03 1.57730858e-01
6.60000000e-03 1.64525366e-01
6.80000000e-03 1.67013939e-01
7.00000000e-03 1.72568330e-01
7.20000000e-03 1.68626143e-01
7.40000000e-03 1.69099216e-01
7.60000000e-03 1.72639917e-01
7.80000000e-03 1.76075493e-01
8.00000000e-03 1.84897164e-01
8.20000000e-03 1.83999999e-01
8.40000000e-03 1.91048823e-01
8.60000000e-03 2.01300407e-01
8.80000000e-03 2.17547044e-01
9.00000000e-03 2.26493006e-01
9.20000000e-03 2.29188359e-01
9.40000000e-03 2.33850362e-01
9.60000000e-03 2.37703892e-01
9.80000000e-03 2.38888733e-01
1.00000000e-02 2.44960592e-01
1.02000000e-02 2.47297625e-01
1.04000000e-02 2.55859463e-01
1.06000000e-02 2.62271889e-01
1.08000000e-02 2.74015485e-01
1.10000000e-02 2.82926330e-01
1.12000000e-02 2.82391268e-01
1.14000000e-02 2.80564741e-01
1.16000000e-02 2.88374959e-01
1.18000000e-02 2.93427354e-01
1.20000000e-02 3.04224630e-01
1.22000000e-02 3.15096126e-01
1.24000000e-02 3.18884767e-01
1.26000000e-02 3.17768274e-01
1.28000000e-02 3.22476448e-01
1.30000000e-02 3.24366124e-01
1.32000000e-02 3.32416199e-01
1.34000000e-02 3.42825690e-01
1.36000000e-02 3.51345370e-01
1.38000000e-02 3.58704384e-01
1.40000000e-02 3.62082196e-01
1.42000000e-02 3.61641094e-01
1.44000000e-02 3.59170258e-01
1.46000000e-02 3.63174614e-01
1.48000000e-02 3.76005538e-01
1.50000000e-02 3.81771445e-01
1.52000000e-02 3.88577510e-01
1.54000000e-02 3.93148305e-01
1.56000000e-02 3.96869776e-01
1.58000000e-02 3.97847902e-01
1.60000000e-02 3.99777462e-01
1.62000000e-02 4.10861542e-01
1.64000000e-02 4.17415901e-01
1.66000000e-02 4.18836877e-01
1.68000000e-02 4.28546835e-01
1.70000000e-02 4.38464372e-01
1.72000000e-02 4.42649339e-01
1.74000000e-02 4.45594073e-01
1.76000000e-02 4.46862982e-01
1.78000000e-02 4.47804163e-01
1.80000000e-02 4.55873771e-01
1.82000000e-02 4.62699178e-01
1.84000000e-02 4.64479681e-01
1.86000000e-02 4.73054863e-01
1.88000000e-02 4.75376261e-01
1.90000000e-02 4.77528572e-01
1.92000000e-02 4.84836262e-01
1.94000000e-02 4.87241215e-01
1.96000000e-02 4.94871535e-01
1.98000000e-02 4.96648159e-01
2.00000000e-02 4.97599804e-01
2.02000000e-02 5.03842438e-01
2.04000000e-02 5.05349901e-01
2.06000000e-02 5.12908640e-01
2.08000000e-02 5.17951985e-01
2.10000000e-02 5.21071109e-01
2.12000000e-02 5.24438441e-01
2.14000000e-02 5.30937354e-01
2.16000000e-02 5.35450364e-01
2.18000000e-02 5.35557977e-01
2.20000000e-02 5.35321815e-01
2.22000000e-02 5.30539071e-01
2.24000000e-02 5.29489701e-01
2.26000000e-02 5.32989995e-01
2.28000000e-02 5.41339616e-01
2.30000000e-02 5.48585177e-01
2.32000000e-02 5.49177350e-01
2.34000000e-02 5.50193477e-01
2.36000000e-02 5.50682837e-01
2.38000000e-02 5.62675143e-01
2.40000000e-02 5.76860821e-01
2.42000000e-02 5.82498134e-01
2.44000000e-02 5.87800423e-01
2.46000000e-02 5.87506191e-01
2.48000000e-02 5.91839541e-01
2.50000000e-02 6.01179568e-01
2.52000000e-02 6.17986860e-01
2.54000000e-02 6.19002541e-01
2.56000000e-02 6.17551787e-01
2.58000000e-02 6.21750336e-01
2.60000000e-02 6.25435838e-01
2.62000000e-02 6.27559028e-01
2.64000000e-02 6.33337856e-01
2.66000000e-02 6.39032913e-01
2.68000000e-02 6.41883640e-01
2.70000000e-02 6.52088449e-01
2.72000000e-02 6.53028492e-01
2.74000000e-02 6.54877431e-01
2.76000000e-02 6.55367957e-01
2.78000000e-02 6.60123453e-01
2.80000000e-02 6.70019379e-01
2.82000000e-02 6.81196310e-01
2.84000000e-02 6.80550683e-01
2.86000000e-02 6.84867367e-01
2.88000000e-02 6.78694590e-01
2.90000000e-02 6.78956683e-01
2.92000000e-02 6.75550964e-01
2.94000000e-02 6.77571441e-01
2.96000000e-02 6.85257504e-01
2.98000000e-02 6.90670943e-01
3.00000000e-02 6.98046018e-01
3.02000000e-02 6.96755324e-01
