# strain  sxx_GPa
2.00000000e-04 1.45265660e-01
4.00000000e-04 9.04798050e-02
6.00000000e-04 1.42705366e-01
8.00000000e-04 3.15484459e-01
1.00000000e-03 1.31850383e-01
1.20000000e-03 2.13249828e-01
1.40000000e-03 2.50186398e-01
1.60000000e-03 1.75249021e-01
1.80000000e-03 1.92523070e-01
2.00000000e-03 1.38997635e-01
2.20000000e-03 2.62234591e-01
2.40000000e-03 2.57473066e-01
2.60000000e-03 2.97447320e-01
2.80000000e-03 3.28503397e-01
3.00000000e-03 4.07718976e-01
3.20000000e-03 3.32036196e-01
3.40000000e-03 3.70795975e-01
3.60000000e-03 3.20792832e-01
3.80000000e-03 2.69891760e-01
4.00000000e-03 4.15471413e-01
4.20000000e-03 3.82151461e-01
4.40000000e-03 2.31265035e-01
4.60000000e-03 4.09535559e-01
4.80000000e-03 4.08497091e-01
5.00000000e-03 4.65758360e-01
5.20000000e-03 4.75716404e-01
5.40000000e-03 4.03084101e-01
5.60000000e-03 5.18265012e-01
5.80000000e-03 4.36961893e-01
6.00000000e-03 4.73430214e-01
6.20000000e-03 4.71722176e-01
6.40000000e-03 5.20291656e-01
6.60000000e-03 5.25314600e-01
6.80000000e-03 5.64755153e-01
7.00000000e-03 5.61738451e-01
7.20000000e-03 5.83725580e-01
7.40000000e-03 5.71273621e-01
7.60000000e-03 4.33819856e-01
7.80000000e-03 5.64580467e-01
8.00000000e-03 5.50649473e-01
8.20000000e-03 4.86976944e-01
8.40000000e-03 6.48367063e-01
8.60000000e-03 5.28391548e-01
8.80000000e-03 6.54885860e-01
9.00000000e-03 5.73553374e-01
9.20000000e-03 5.81809932e-01
9.40000000e-03 5.88098974e-01
9.60000000e-03 5.68538922e-01
9.80000000e-03 6.47187144e-01
1.00000000e-02 6.60609377e-01
1.02000000e-02 6.69416622e-01
1.04000000e-02 6.08996924e-01
1.06000000e-02 6.23788411e-01
1.08000000e-02 6.01161537e-01
1.10000000e-02 6.68616766e-01
1.12000000e-02 6.44065143e-01
1.14000000e-02 6.10641444e-01
1.16000000e-02 7.01966170e-01
1.18000000e-02 6.19867832e-01
1.20000000e-02 7.47265030e-01
1.22000000e-02 7.21011442e-01
1.24000000e-02 7.64354225e-01
1.26000000e-02 7.41281719e-01
1.28000000e-02 6.76806888e-01
1.30000000e-02 7.25770211e-01
1.32000000e-02 8.01302838e-01
1.34000000e-02 7.91016832e-01
1.36000000e-02 8.01194821e-01
1.38000000e-02 9.00290132e-01
1.40000000e-02 8.32850856e-01
1.42000000e-02 8.28931016e-01
1.44000000e-02 8.98570429e-01
1.46000000e-02 7.19489155e-01
1.48000000e-02 7.50813884e-01
1.50000000e-02 8.64977490e-01
1.52000000e-02 7.12340158e-01
1.54000000e-02 9.06964166e-01
1.56000000e-02 7.82186258e-01
1.58000000e-02 7.97737213e-01
1.60000000e-02 9.20682832e-01
1.62000000e-02 8.69415425e-01
1.64000000e-02 8.40397850e-01
1.66000000e-02 9.08297071e-01
1.68000000e-02 8.51510375e-01
1.70000000e-02 8.51488298e-01
1.72000000e-02 8.51704350e-01
1.74000000e-02 8.67990960e-01
1.76000000e-02 8.99694115e-01
1.78000000e-02 7.94495554e-01
1.80000000e-02 9.56075645e-01
1.82000000e-02 9.75729037e-01
1.84000000e-02 9.54996420e-01
1.86000000e-02 9.51522562e-01
1.88000000e-02 9.53008846e-01
1.90000000e-02 9.97174836e-01
1.92000000e-02 9.27312284e-01
1.94000000e-02 9.65283504e-01
1.96000000e-02 1.08229528e+00
1.98000000e-02 1.00663656e+00
2.00000000e-02 8.93935215e-01
2.02000000e-02 1.00545425e+00
2.04000000e-02 8.80474128e-01
2.06000000e-02 8.99045034e-01
2.08000000e-02 1.00867236e+00
2.10000000e-02 8.96513901e-01
2.12000000e-02 9.97082705e-01
2.14000000e-02 8.76971502e-01
2.16000000e-02 9.55504226e-01
2.18000000e-02 8.78436562e-01
2.20000000e-02 9.47548793e-01
2.22000000e-02 9.47183022e-01
2.24000000e-02 8.91580205e-01
2.26000000e-02 8.85034622e-01
2.28000000e-02 1.13670966e+00
2.30000000e-02 1.08445506e+00
2.32000000e-02 1.00169629e+00
2.34000000e-02 9.23687130e-01
2.36000000e-02 8.84217304e-01
2.38000000e-02 9.33393245e-01
2.40000000e-02 8.78705264e-01
2.42000000e-02 9.32101325e-01
2.44000000e-02 9.65345192e-01
2.46000000e-02 9.39942643e-01
2.48000000e-02 8.74434498e-01
2.50000000e-02 8.91744316e-01
2.52000000e-02 8.63972391e-01
2.54000000e-02 8.97295069e-01
2.56000000e-02 9.24025299e-01
2.58000000e-02 8.96459308e-01
2.60000000e-02 9.63797576e-01
2.62000000e-02 8.95811347e-01
2.64000000e-02 9.14263619e-01
2.66000000e-02 1.01482378e+00
2.68000000e-02 9.45793967e-01
2.70000000e-02 8.49496959e-01
2.72000000e-02 1.02273498e+00
2.74000000e-02 8.69130785e-01
2.76000000e-02 9.64595287e-01
2.78000000e-02 1.00825773e+00
2.80000000e-02 9.76277956e-01
2.82000000e-02 9.74155055e-01
2.84000000e-02 9.36928055e-01
2.86000000e-02 9.09181093e-01
2.88000000e-02 8.35770190e-01
2.90000000e-02 9.85440588e-01
2.92000000e-02 9.89326318e-01
2.94000000e-02 8.15793819e-01
2.96000000e-02 9.96449559e-01
2.98000000e-02 1.02651162e+00
3.00000000e-02 8.64336707e-01
3.02000000e-02 9.61196730e-01
